Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Gastroenteritis,diarrhoea,nausea,vomiting,stomach_pain,dehydration,,,
Gastroenteritis,watery_stools,vomiting,nausea,stomach_cramps,,,, 
Gastroenteritis,diarrhoea,vomiting,nausea,dehydration,,,, 
Gastroenteritis,stomach_cramps,diarrhoea,vomiting,nausea,loss_of_appetite,,,
Allergy,continuous_sneezing,watery_eyes,runny_nose,itching,skin_rash,,,
Allergy,skin_rash,itching,watering_from_eyes,continuous_sneezing,,,, 
Allergy,itching,skin_rash,continuous_sneezing,watery_eyes,chills,,,
Allergy,runny_nose,continuous_sneezing,watery_eyes,itching,,,, 
Allergy,hives,itching,skin_rash,runny_nose,watery_eyes,,,
Bronchial Asthma,breathlessness,wheezing,chest_tightness,cough,,,, 
Bronchial Asthma,wheezing,shortness_of_breath,cough,breathlessness,,,, 
Bronchial Asthma,cough,breathlessness,wheezing,chest_tightness,mucoid_sputum,,,
Bronchial Asthma,shortness_of_breath,wheezing,breathlessness,cough,,,, 
Bronchial Asthma,breathlessness,cough,wheezing,mucoid_sputum,fatigue,,,
Urinary tract infection,burning_micturition,frequent_urination,pelvic_pain,cloudy_urine,,,, 
Urinary tract infection,burning_micturition,bladder_discomfort,frequent_urination,foul_smell_urine,,,, 
Urinary tract infection,painful_urination,frequent_urination,bladder_discomfort,,,, 
Urinary tract infection,burning_micturition,pelvic_pain,frequent_urination,cloudy_urine,,,, 
Urinary tract infection,frequent_urination,burning_micturition,bladder_discomfort,,,, 
Diabetes ,polyuria,polydipsia,fatigue,blurred_and_distorted_vision,weight_loss,excessive_hunger,,
Diabetes ,excessive_thirst,frequent_urination,fatigue,blurred_and_distorted_vision,,,, 
Diabetes ,polyuria,polydipsia,weight_loss,fatigue,irregular_sugar_level,,,
Diabetes ,blurred_and_distorted_vision,fatigue,polyuria,weight_loss,excessive_hunger,,,
Diabetes ,polyuria,fatigue,excessive_hunger,increased_appetite,weight_loss,,,
Hypertension ,persistent_headache,dizziness,vision_problems,palpitations,,,, 
Hypertension ,headache,dizziness,chest_pain,palpitations,,,, 
Hypertension ,vision_blurring,persistent_headache,dizziness,,,, 
Hypertension ,severe_headache,nosebleed,dizziness,palpitations,headache,,,
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration,,,, 
Paralysis (brain hemorrhage),sudden_weakness_one_side,slurred_speech,facial_droop,loss_of_balance,altered_sensorium,,,
Paralysis (brain hemorrhage),sudden_confusion,slurred_speech,weakness_of_one_body_side,altered_sensorium,,,, 
Paralysis (brain hemorrhage),facial_droop,arm_weakness,slurred_speech,altered_sensorium,headache,,,
Paralysis (brain hemorrhage),severe_headache,sudden_confusion,weakness_of_one_body_side,altered_sensorium,,,, 
Paralysis (brain hemorrhage),loss_of_balance,slurred_speech,weakness_of_one_body_side,altered_sensorium,headache,,,
Pneumonia,productive_cough,high_fever,breathlessness,chest_pain,chills,sweating,,
Pneumonia,cough,high_fever,breathlessness,chest_pain,rusty_sputum,,,
Pneumonia,high_fever,chills,breathlessness,productive_cough,chest_pain,,,
Pneumonia,breathlessness,cough,chest_pain,high_fever,sweating,,,
Pneumonia,fever,productive_cough,rusty_sputum,breathlessness,chills,,,
Dengue,high_fever,severe_headache,joint_pain,pain_behind_the_eyes,skin_rash,muscle_pain,,
Dengue,high_fever,joint_pain,muscle_pain,headache,pain_behind_the_eyes,skin_rash,,
Dengue,high_fever,rash,joint_pain,pain_behind_the_eyes,chills,headache,,
Dengue,severe_headache,high_fever,muscle_pain,joint_pain,fatigue,,,
Dengue,high_fever,chills,skin_rash,joint_pain,pain_behind_the_eyes,nausea,,
